mu_sigmasq,beta_sigmasq,sigma_mu_x,mu_a,sigma_a,w0,w1,w2,sigma_w0,sigma_w1,sigma_w2,mu_sigmasq_var,beta_sigmasq_var,mu_a_var,sigma_a_var,w0_var,w1_var,w2_var,sigma_w0_var,sigma_w1_var,sigma_w2_var,posterior_q25_mu_sigmasq,posterior_q975_mu_sigmasq,posterior_q25_beta_sigmasq,posterior_q975_beta_sigmasq,posterior_q25_sigma_mu_x,posterior_q975_sigma_mu_x,posterior_q25_mu_a,posterior_q975_mu_a,posterior_q25_sigma_a,posterior_q975_sigma_a,posterior_q25_w0,posterior_q975_w0,posterior_q25_w1,posterior_q975_w1,posterior_q25_w2,posterior_q975_w2,posterior_q25_sigma_w0,posterior_q975_sigma_w0,posterior_q25_sigma_w1,posterior_q975_sigma_w1,posterior_q25_sigma_w2,posterior_q975_sigma_w2,mean_subject_true_a,sd_subject_true_a,mean_subject_true_w0,mean_subject_true_w1,mean_subject_true_w2,sd_subject_true_w0,sd_subject_true_w1,sd_subject_true_w2,num_trials,num_subjects
0.24952053,0.44705984,0.5659831,0.9732098,0.035028283,-0.077492386,0.14584818,-0.10873529,1.0238442,1.0495477,0.9314583,0.00022998608,0.0029342289,9.053267e-05,5.7160232e-05,0.0017277601,0.001725045,0.0015071596,0.0008722805,0.0009580459,0.00079062337,0.22058515,0.2791545,0.34246415,0.56087536,0.46820176,0.6494025,0.9609262,0.99371046,0.023919271,0.05076564,-0.15587862,0.0040619597,0.06898848,0.2228835,-0.18602224,-0.035778347,0.96643245,1.0820291,0.9950599,1.1125076,0.8787845,0.98944646,0.9647053,0.02062427,-0.065978065,0.14390226,-0.11098997,0.99815166,1.0188278,0.9347312,210,663
0.2384948,0.366019,0.5562548,0.97091407,0.024585372,0.027262924,0.21814585,-0.07384857,1.0775765,1.0215536,0.97135025,0.00020237529,0.0015179394,2.4167612e-05,2.3126853e-05,0.0017231259,0.0016886004,0.0014148821,0.0010714583,0.0009211156,0.0008325112,0.21159486,0.2657162,0.29717183,0.44956267,0.46654025,0.6497706,0.96439165,0.9836599,0.016848395,0.035004303,-0.05563139,0.11058646,0.13799532,0.29443762,-0.1498832,0.001389901,1.0170963,1.1459833,0.96511227,1.0831108,0.9156113,1.0303724,0.96642995,0.019457238,0.04327866,0.20812553,-0.068061315,1.0566608,0.9913094,0.9648069,210,663
0.2341135,0.46830216,0.60854024,0.9724202,0.029562403,0.007947368,0.19489564,-0.06112116,0.9949766,1.0232221,1.0050912,0.00015787919,0.00692273,7.184033e-05,7.605932e-05,0.0015647993,0.0016187768,0.0014264012,0.00088744663,0.0010099066,0.00083734177,0.21184063,0.26014742,0.34056064,0.6333724,0.5280479,0.6899042,0.96256524,0.9933742,0.013920678,0.048661273,-0.068668835,0.08772577,0.118875764,0.27899328,-0.13892487,0.01419877,0.9369304,1.050375,0.961421,1.0902569,0.9483232,1.0647575,0.96561337,0.020562839,-0.008788689,0.20361225,-0.062366724,0.97517943,1.0347041,0.99421906,210,663
0.22341534,0.56332195,0.63642275,0.9823386,0.04114029,-0.07623703,0.17417149,-0.10001168,0.9864274,1.0406705,1.014172,0.00011312771,0.008231314,5.836353e-05,4.166491e-05,0.0014756974,0.0018202189,0.0016811988,0.0008351567,0.0009688454,0.0008470986,0.20589614,0.24756777,0.42372343,0.74795353,0.56373066,0.71827054,0.96729636,0.9944323,0.028915122,0.05372634,-0.15187907,0.0017055782,0.094540015,0.26228684,-0.18571115,-0.020372506,0.9302502,1.0399716,0.97768754,1.1015718,0.9602764,1.0739294,0.96440834,0.02190187,-0.09010877,0.1751612,-0.1049233,1.0010015,1.0224351,1.0096021,210,663
0.25270855,0.7156643,0.5813879,0.9725389,0.038884677,-0.051173892,0.15476958,-0.13490073,1.0484635,0.9998978,0.98404056,0.00012977007,0.009677296,7.954768e-05,5.852499e-05,0.0017499705,0.0016200354,0.0015628234,0.0008924586,0.00087864045,0.0009243738,0.23175101,0.2781407,0.5590542,0.9312655,0.501325,0.6557269,0.9582858,0.9923834,0.024816513,0.05371001,-0.13053404,0.029824883,0.07694157,0.23260391,-0.20994253,-0.05889738,0.9914198,1.1095424,0.9434706,1.0594409,0.92623097,1.0448627,0.96531016,0.020458354,-0.05154007,0.15912808,-0.13848382,1.0240144,0.9880653,0.97648466,210,663
0.22261754,0.4420392,0.5903069,0.9748617,0.03005432,0.037664324,0.24516927,-0.088194236,0.99954504,0.9958347,1.0191417,0.000115281924,0.009150822,4.0667925e-05,4.3246197e-05,0.0016825505,0.0016350779,0.0016485011,0.00094332255,0.0009728164,0.00091986376,0.20238246,0.2432492,0.30374676,0.62822133,0.5078984,0.67882395,0.96588576,0.9902092,0.019848904,0.04444341,-0.03764744,0.122205436,0.16350584,0.32521358,-0.1641615,-0.006662556,0.94012016,1.0599532,0.9424808,1.0601677,0.96228874,1.0780098,0.9657001,0.020481285,0.031300016,0.25724274,-0.08156196,0.9882931,0.976059,1.0043713,210,663
0.22732921,0.41301557,0.5592284,0.96491,0.01849246,0.041673113,0.20977934,-0.11659811,0.9943355,1.0387893,1.0089575,0.00026613893,0.004322455,6.1125374e-06,9.761209e-06,0.0016248036,0.0016911491,0.0015718275,0.0009088879,0.0009211754,0.00084835524,0.20160967,0.26345804,0.2868352,0.560007,0.46594188,0.65032107,0.96090955,0.9708779,0.013838827,0.026526505,-0.034287848,0.1198729,0.13387099,0.28699687,-0.19607186,-0.037403572,0.9387542,1.0551499,0.9824512,1.0965909,0.9506432,1.0609326,0.9650894,0.020168068,0.030652197,0.20458984,-0.10865151,0.99280435,1.0235806,0.9952133,210,663
0.2450451,0.6576341,0.56230253,0.9722672,0.037065234,0.039439783,0.21485047,-0.16560167,1.0208094,1.0542076,1.0410701,0.0001871141,0.006482334,7.3780924e-05,4.238375e-05,0.0015767463,0.0017275581,0.0016408332,0.0009700119,0.0010739461,0.000954696,0.22047907,0.2728385,0.50913584,0.83584905,0.4781401,0.6504342,0.9595648,0.99049383,0.024670681,0.048782434,-0.03851844,0.1184863,0.13174291,0.29916283,-0.24577759,-0.08993663,0.95719504,1.0808346,0.9950781,1.1219186,0.9822652,1.1041303,0.9636814,0.020941041,0.038842686,0.21466959,-0.17182861,1.0113932,1.0309405,1.0271155,210,663
0.22590873,0.50859666,0.5216758,0.96782684,0.023445366,-0.0077162236,0.20903224,-0.049280167,1.0410897,0.9971522,0.982611,0.00011603346,0.005760399,4.4502627e-05,3.7818783e-05,0.0016622886,0.0015281766,0.0014004384,0.0010847988,0.00090810924,0.0007901237,0.20652033,0.2488156,0.37748042,0.6589603,0.42607138,0.60948575,0.96143264,0.9900295,0.016149107,0.042263642,-0.08870081,0.074436344,0.12860566,0.28428295,-0.12553856,0.025752485,0.97636724,1.106998,0.9405461,1.0577621,0.9301493,1.0421642,0.9640274,0.021255689,-0.006263966,0.21993844,-0.044627097,1.0204248,0.98992366,0.9885022,210,663
0.19551688,0.4857262,0.50238127,0.9702685,0.02328671,-0.043765668,0.2152472,-0.16020046,0.9853159,1.0191511,1.0136471,0.00012475712,0.0047003482,1.9167044e-05,2.8933075e-05,0.0015213717,0.0016504335,0.0016347081,0.00087284803,0.00096972723,0.00086944853,0.17627695,0.2180085,0.38654417,0.6569044,0.404668,0.58455604,0.9640781,0.9810011,0.0147099355,0.034978244,-0.12339713,0.03382022,0.13543677,0.29728085,-0.239118,-0.081232294,0.9293284,1.0472662,0.96227187,1.0822507,0.96006876,1.0740862,0.9647834,0.01943772,-0.0544125,0.20114617,-0.1585993,0.97800446,1.0140159,1.0183818,210,663
0.22131465,0.6136493,0.6426334,0.97092104,0.029653173,0.0006807031,0.1706231,-0.05934824,1.0053523,1.03212,1.0293815,0.0001713391,0.0065833325,4.9060513e-05,5.863595e-05,0.0015519578,0.0018859995,0.001604425,0.0009614381,0.0010457524,0.0009897354,0.20022045,0.24778342,0.48393595,0.80950737,0.5618846,0.73011196,0.9631858,0.9902179,0.017063756,0.0454927,-0.078003794,0.07771828,0.083036825,0.2567264,-0.13786283,0.02653512,0.94584095,1.068122,0.96937126,1.093382,0.969476,1.091849,0.9654974,0.020097153,0.0033056014,0.17723079,-0.054368056,1.0013704,1.0318357,1.01221,210,663
0.20723103,0.53011394,0.55372226,0.9718203,0.029085198,-0.01999928,0.24334541,-0.14030814,1.0082794,1.0009447,0.9726353,8.05706e-05,0.003781713,6.755917e-05,5.2710388e-05,0.0015591357,0.0017394645,0.0015009387,0.0009344328,0.0008630279,0.0008630467,0.19108735,0.22602203,0.4222987,0.65966505,0.47445336,0.6489355,0.96187687,0.99019915,0.016491678,0.04320054,-0.096873276,0.057537667,0.16343424,0.32431096,-0.21270202,-0.06723266,0.9490043,1.0697924,0.9432881,1.0571246,0.9173946,1.033264,0.9653834,0.020947726,-0.026272865,0.22706346,-0.1483864,0.9904691,0.97892654,0.9635147,210,663
0.20794542,0.6946059,0.6354476,0.973331,0.03433093,0.010800108,0.20463304,-0.102806695,1.0100698,0.982705,0.98959285,0.00013471971,0.0060968893,5.08053e-05,3.6186597e-05,0.0017301197,0.0014828251,0.0015306566,0.0009867691,0.0008283959,0.00088466256,0.18074773,0.22735225,0.5624053,0.85693246,0.554828,0.7182522,0.9621359,0.99023235,0.024135036,0.04627184,-0.06956635,0.09382202,0.13006459,0.27812365,-0.18011646,-0.025918206,0.9531795,1.0753139,0.9299043,1.0411072,0.93329996,1.0519414,0.964784,0.020780412,0.012686021,0.2057862,-0.09575251,0.9680162,0.95822734,0.97744095,210,663
0.22629102,0.45306027,0.6221396,0.97674114,0.034916032,-0.024861654,0.2152713,-0.05764048,1.0386955,1.0692344,0.98970693,0.00022304116,0.0045078616,5.60559e-05,3.3080643e-05,0.0016711551,0.0017557977,0.00156675,0.0009605941,0.0010322664,0.0008441631,0.19908568,0.2543562,0.34601924,0.6162204,0.5354651,0.7083446,0.9651588,0.9926948,0.02440423,0.04545822,-0.10829988,0.050086554,0.12920776,0.29354,-0.13930142,0.019082377,0.980903,1.1030319,1.0066925,1.1337466,0.9330501,1.04661,0.96526927,0.02082754,-0.015747903,0.20590137,-0.05550143,1.0178069,1.0547372,0.9735361,210,663
0.22938018,0.5103271,0.56828153,0.9672409,0.022688735,0.016005559,0.1524227,-0.13832647,1.0720297,1.0310992,1.030084,0.00019011952,0.0044903453,3.5222136e-05,2.9878322e-05,0.0017375245,0.0017101826,0.0017473215,0.0009841012,0.0009614356,0.0009907047,0.20442645,0.25666174,0.39136747,0.6430859,0.46637502,0.6627873,0.96078545,0.98789084,0.0150581775,0.03909254,-0.06826682,0.09752359,0.0711821,0.2339112,-0.2241952,-0.059413694,1.0087912,1.133781,0.97059554,1.0919211,0.9722341,1.09614,0.9643611,0.0204927,0.007308759,0.14671376,-0.13677472,1.0359414,0.9897966,1.0055686,210,663
0.22173606,0.50186205,0.55979013,0.97354007,0.02884324,-0.003813204,0.23799865,-0.13827543,1.0076054,1.0037886,1.0203481,0.00013307677,0.0073055956,5.4937493e-05,3.9987135e-05,0.0016929779,0.0015883339,0.0016501839,0.0009365108,0.00095863873,0.0009598908,0.20046552,0.24685362,0.36646262,0.7098904,0.45921832,0.64102197,0.9637829,0.99158585,0.019641595,0.043072388,-0.08358097,0.07697028,0.15910676,0.31217828,-0.21595375,-0.059247833,0.9488077,1.0687026,0.9464274,1.0673412,0.9640787,1.0817502,0.963737,0.021026094,0.00072349934,0.21295944,-0.12466684,0.9787943,1.0039399,1.0015454,210,663
0.20985074,0.56348324,0.60777897,0.9712498,0.031379465,-0.00057689287,0.24005257,-0.11154544,1.0380006,0.9999016,1.0278596,0.00018685375,0.017764084,3.6824167e-05,2.4716843e-05,0.0017970668,0.0015796777,0.0017894615,0.0009908903,0.0009240583,0.0009828085,0.18579847,0.23892254,0.3580357,0.82772857,0.5327755,0.6837415,0.9608838,0.9846573,0.022494286,0.04167924,-0.08398042,0.0838022,0.16001698,0.31462213,-0.19648005,-0.030936718,0.9798345,1.1013242,0.9438392,1.0623527,0.9672241,1.0892429,0.96468484,0.020835506,0.0014568145,0.21982458,-0.111064285,1.029573,0.9919755,1.0166271,210,663
0.23934048,0.44404048,0.51649976,0.96459794,0.026433405,0.010479281,0.26824418,-0.09744045,1.0408335,1.0118841,0.975282,0.00018938372,0.003471968,1.893891e-05,2.511194e-05,0.0017748727,0.0015864805,0.0015069388,0.0009810776,0.0009569082,0.0008647317,0.21434776,0.26702607,0.3524397,0.56273425,0.44659615,0.59345555,0.9567094,0.975209,0.018049855,0.036066853,-0.07561952,0.090623766,0.18930672,0.3432891,-0.17338187,-0.024615489,0.9792385,1.0994548,0.95342094,1.0747606,0.9148107,1.0372016,0.9626233,0.022243692,0.028962305,0.25416765,-0.07898864,1.0155983,0.9933536,0.9567947,210,663
0.2294421,0.47635096,0.5104584,0.9687288,0.024356397,0.016381761,0.15930359,-0.12579006,1.0331429,0.9794791,1.0267527,0.00013825155,0.0032478091,1.3776675e-05,1.8807492e-05,0.0018069895,0.0016552254,0.0016688022,0.0009235198,0.000795713,0.0009565269,0.20272182,0.25225842,0.38896242,0.6122676,0.38432825,0.5963187,0.96335685,0.9778259,0.016639752,0.035123542,-0.070618935,0.09580759,0.077680476,0.233387,-0.20672305,-0.04808869,0.97791505,1.0959268,0.9261076,1.0355188,0.968509,1.0866172,0.96476,0.020475432,0.01703343,0.16339123,-0.11260428,1.0090777,0.9705348,1.031755,210,663
0.24313936,0.52207583,0.6220606,0.97011006,0.030130552,0.033421244,0.16701205,-0.020083085,1.0446594,1.01377,1.0038809,0.00014238615,0.0041501014,5.431423e-05,3.565486e-05,0.00161812,0.0016729968,0.0016907747,0.0010297559,0.00089056377,0.0009001451,0.22024561,0.26819494,0.4152628,0.653957,0.5418429,0.7098166,0.96073335,0.9903061,0.020929137,0.044199537,-0.04835086,0.10885124,0.083841816,0.24763878,-0.102381565,0.06107763,0.98474103,1.1082642,0.9578172,1.0758722,0.9485309,1.0658358,0.9651986,0.021587005,0.02827556,0.1403427,-0.013246636,1.0026176,1.0000033,0.98855096,210,663
0.2398022,0.4033752,0.5178114,0.9745173,0.028114622,-0.009933626,0.24727942,-0.13038023,1.0498463,1.0449332,1.0465835,0.0001738142,0.0021345292,4.4231958e-05,1.8009741e-05,0.0018668042,0.0015889349,0.001815024,0.0009874571,0.0010338168,0.00094871584,0.21458785,0.2659073,0.31273177,0.49788785,0.41981798,0.6156208,0.9652961,0.9909697,0.020901218,0.03680824,-0.095689856,0.076464616,0.1694248,0.32561588,-0.21652114,-0.052826647,0.9906783,1.112656,0.9860612,1.1125717,0.9838517,1.1059768,0.9650533,0.021492131,-0.0073409504,0.2466256,-0.121751815,1.0342586,1.030064,1.0321335,210,663
0.21333982,0.5874156,0.5741215,0.97093976,0.02219869,-0.01335023,0.24159919,-0.0976323,1.036878,0.9956423,0.99910945,0.00011814072,0.008784613,2.0887119e-05,1.7960008e-05,0.0017619391,0.0015263859,0.001472416,0.0009595816,0.0009920086,0.00092706125,0.19413596,0.23349556,0.44281083,0.80452067,0.48372534,0.66158265,0.965187,0.9832271,0.015808675,0.03275766,-0.09405741,0.06742015,0.16537979,0.31465366,-0.17669939,-0.028497793,0.9808808,1.1011864,0.9351446,1.0565914,0.93776774,1.0568643,0.96608657,0.02060427,-0.014598238,0.22868451,-0.098481596,1.0192707,0.974381,0.9772165,210,663
0.23679307,0.4232646,0.5173944,0.97536546,0.02873806,-0.022367306,0.22359203,-0.066261485,1.0103253,0.9827311,1.042755,0.00016164091,0.0044096387,4.627089e-05,3.7491594e-05,0.0015844995,0.0015092948,0.0017315802,0.00089480024,0.0008694302,0.0009802185,0.21365602,0.26296306,0.31739983,0.5561827,0.43067235,0.6130859,0.96598154,0.9918828,0.01726532,0.040257975,-0.101823196,0.05176891,0.14418666,0.30152494,-0.14731091,0.0145401275,0.9557849,1.0694758,0.9303719,1.0454721,0.9829013,1.1018553,0.9658277,0.020741422,-0.01804565,0.23022668,-0.049512718,0.9952431,0.95176125,1.0097773,210,663
0.2222837,0.47737765,0.5700715,0.9702299,0.028521458,-0.0049692304,0.22961934,-0.07540373,0.9900489,1.0595006,1.0343854,9.87886e-05,0.0026508996,3.6876434e-05,3.1802305e-05,0.001716479,0.0018403108,0.0018160339,0.00088899286,0.00092801737,0.0008556657,0.20361027,0.2428503,0.3800773,0.578376,0.48808536,0.65050375,0.9617724,0.9840004,0.018933453,0.04034543,-0.0840521,0.07714337,0.1493097,0.31434703,-0.16048332,0.006556787,0.93278146,1.0514829,1.0004039,1.1215026,0.97777915,1.0919027,0.9642606,0.020786619,-0.013628717,0.21798417,-0.0757964,0.9473095,1.0473387,1.0119103,210,663
