correlation_w0,correlation_w1,correlation_w2,correlation_mu_x,correlation_a,correlation_sigmasq,mean_correlation_states,median_correlation_states
0.9765179980080813,0.9793364377662116,0.9694732368250324,0.5105557772641605,0.5621676865028125,0.5387595274537748,0.77875036,0.8051281
0.9750470350733496,0.972964406188684,0.9728029148486881,0.5377271687397563,0.46702355141427576,0.5656509649210504,0.77793294,0.8101687
0.9730551575689367,0.9758315980494546,0.9751049693709973,0.5234666846083188,0.5089288817173521,0.5873906968800136,0.7809545,0.8100145
0.9761829920054786,0.975709964847428,0.9731264739893531,0.47864081443681517,0.5266732936998088,0.5315761274788426,0.77656806,0.8047717
0.9781585639079947,0.9749770774530913,0.9764321877193123,0.47755480370443504,0.49210834080235943,0.5803331300348692,0.7762607,0.8035006
0.9761953035584258,0.9740225715443547,0.9765849497976868,0.5727585603174683,0.5367075182732631,0.573021385208645,0.7809044,0.8101752
0.9759144436833332,0.9783658015199784,0.9752844956949093,0.4942297110136764,0.5058367466667808,0.5402061555129486,0.7748489,0.8058239
0.9744861388384118,0.9736774880413234,0.9771657751016094,0.5429289851508672,0.5121907432603924,0.5220585147111939,0.77489305,0.804462
0.9783572369614065,0.9764028705765082,0.9751392687810475,0.4865081850003944,0.4732229899763371,0.5104169325934652,0.7801686,0.8095169
0.9739900632796328,0.9767587115148677,0.9744980798094978,0.5425507857735435,0.5328516757305328,0.5159547844012377,0.7819401,0.8068009
0.9732738832186203,0.9756555304895813,0.974372576085809,0.5415521500089021,0.4909967960315787,0.5123834870040235,0.7758245,0.8075978
0.9744627921811507,0.975247025751157,0.9752452551933752,0.47781058754024724,0.4788105252702502,0.5011495037579471,0.7757598,0.7976436
0.9733294704978132,0.9739455010785577,0.973270712684918,0.5422654377403532,0.5326524879780412,0.5203452377713467,0.7740013,0.80552715
0.9779955490647912,0.9775731269186875,0.9759790896302464,0.5355335711755169,0.5243242478153041,0.5010512583889439,0.77395284,0.80329067
0.9785209106168078,0.9758816266007283,0.9759064555854343,0.5290506120941777,0.4977790462657768,0.5100060396608236,0.7760035,0.80390745
0.9731448795551304,0.9767879463061471,0.976500498309076,0.5683944647916761,0.5300035839383561,0.4652556858374977,0.7744695,0.80507755
0.9754539751328041,0.9734944206018479,0.9750930283999115,0.5227032036225447,0.5105448656871336,0.48813948635377585,0.7690661,0.79563123
0.9751706035362073,0.9751564802497161,0.9741417547897475,0.5519465182845913,0.5310581775640516,0.5022703080095257,0.7741743,0.8054002
0.9780198427645866,0.9746496578237496,0.9764666930081742,0.5110057871710488,0.45316208086534815,0.5412423847486294,0.7872199,0.8121836
0.9764350288469154,0.974525502867233,0.9754106994065582,0.5424394465121082,0.5126935922256701,0.5320730365790649,0.77388436,0.80192876
0.9778523397632853,0.9763916295933828,0.9763672123663001,0.49616526007517375,0.5104825667586752,0.5466145452886445,0.7788517,0.81546843
0.9738543379406814,0.9740859104282228,0.975334894828044,0.4937444546542034,0.4598612903858053,0.5106023470513954,0.78261304,0.81163293
0.9772055508880542,0.9697299265276167,0.9751292218950305,0.5380827626235417,0.5247801144782969,0.5969133330906707,0.7825626,0.81466633
0.972866531401542,0.9796326973764286,0.976209426844917,0.4692554582178833,0.4939532157693946,0.5216830741099487,0.7773522,0.8030056
0.9745012503431999,0.974507467883317,0.9739241308578903,0.5374911080941173,0.46318636149208897,0.5725297466060054,0.778907,0.8059198
0.9771567164338889,0.9773170960283011,0.9731515912043959,0.549757573581499,0.5757606293147117,0.5806130016916649,0.77657616,0.80803454
0.976920573436725,0.9746431008445477,0.9792018753748022,0.5653753343677782,0.44807963754952085,0.5101155260129525,0.78110766,0.8058537
0.9736565707540417,0.9752714429782394,0.9777984406903495,0.48715324449360636,0.46718305534974847,0.4655667275464038,0.7769449,0.80414844
0.9783477253603002,0.9739616831531673,0.9728616314858206,0.5484430785437548,0.5218290421875331,0.4860347872604826,0.7752714,0.8065716
0.9751923855144985,0.9754777335476887,0.9737722746462879,0.5496020527270459,0.4859710571854558,0.5781736671776304,0.7769014,0.804992
0.9800839013804256,0.9729477711806885,0.9746207835813457,0.4760558000755327,0.4536195389204012,0.4850270104765962,0.76530933,0.7915146
0.9773071726695711,0.9763741710701399,0.9765179568323188,0.46770963774717184,0.5043937832504575,0.5299447849496988,0.7858399,0.8134794
0.9721651434654146,0.976445116908695,0.9773995710803186,0.521926340514002,0.4533948680402756,0.5569349618951259,0.7839526,0.81245965
0.9781905574753524,0.9710796268421829,0.9754338813607699,0.547952428159412,0.5219996799202079,0.5083958202977731,0.77795696,0.80881846
0.9776481491577167,0.9770826824131565,0.9718503959378957,0.5220203036037191,0.4993842730714881,0.5027530526474945,0.7646156,0.7896927
0.9759910306013323,0.9713155227847727,0.9725264607801687,0.4652045455406401,0.46899267450246906,0.5281256397684077,0.77803016,0.8000447
0.9781320467170315,0.9738838609622973,0.9695571942044947,0.5407278524221147,0.5118164555804934,0.46034020567787404,0.775773,0.79966116
0.9764696988388268,0.9726695465543873,0.9751631507232192,0.4957521436513645,0.5027722405527566,0.47844786481437224,0.7733853,0.79951864
0.9761409515521037,0.9734805443699309,0.9754749335958479,0.52422036576265,0.497213229521412,0.48920682891378947,0.78267175,0.80991083
0.9729436947802145,0.972833343737076,0.9768117047210316,0.5166723544119746,0.4956411183102472,0.5480548322804142,0.78419167,0.81118846
0.9772333857034128,0.9773550600812018,0.9766436664348195,0.5242715472352698,0.49302507290992237,0.510110626097231,0.7701919,0.80607915
0.9770007014702876,0.9732997004216233,0.9704307791788334,0.5316169326593464,0.4820766847516104,0.5344892714904127,0.7863663,0.8187818
0.9725391840907394,0.9781583168534206,0.9757230175640977,0.47713724029829035,0.46219513259666045,0.5742069589344239,0.7761007,0.80688256
0.9730513282230367,0.9772123448888443,0.9761017522263321,0.5335808929968757,0.5308874477303287,0.5420084598074324,0.78364825,0.8137878
0.974561819889639,0.9737280518775075,0.9743686232126219,0.5446901810536378,0.4579357311606448,0.5163723889831447,0.77903414,0.8080682
0.9756004784952993,0.9747265229390996,0.9784869406128566,0.4813621205715261,0.5055539515308571,0.5338262593648094,0.77163136,0.7994331
0.9753084188128434,0.976709341775792,0.9788708634211492,0.5073530441158765,0.5411256364447583,0.46190249645353154,0.7816828,0.8114541
0.9738678847664995,0.9722641711739028,0.9728643490861367,0.48063244488665374,0.5083391212729964,0.45544440753266097,0.7810973,0.8084051
0.9745767666913775,0.9756341602689139,0.9762701199186431,0.49927424115205177,0.4753259439927069,0.528313442420555,0.7765051,0.810525
0.971880207189848,0.9741381624706642,0.9760275946783127,0.5409012435574343,0.5173832539492085,0.5044976285231423,0.77369213,0.810205
